time,gt,no action,open drawer,pick up bowl,put cereal box,open fridge,pick up milk bottle,close fridge,open milk bottle,pour milk into bowl with cereals,still pouring milk,pour milk,put lid on milk bottle,turn on tap,put milk in fridge,pick up ham,pick up salads,put down salad and ham,pick up plate,put down plate,open salad packaging,pour salad into bowl,still pouring salad into bowl,rinse bowl,close salad packaging,pick up clip,clip salad packaging,put salad in fridge,open cupboard,pick up bread,close cupboard,put down bread,turn off tap,pick up sauce,open sauce,pour sauce over salad,close sauce,pick up tissue,wipe sauce with tissue,put down sauce,put tissue in bin,open dishwasher,put down bowl,pick up fork,close drawer,close dishwasher,put fork,pick up cereal bowl,pick up salad bowl,put down bowls,put down fork,pick up breads,pick up cereal box,move chair,sit on chair,take slice of bread from bread packaging,put bread in bowl,take ham from ham packaging,put ham between bread slices,put sandwich in bowl,put ham in fridge,open cereal box,pour cereals into bowl,close cereal box
18.6019,no action,0.0011,0.0059,0.0279,0.0281,0.0037,0.0409,0.0044,0.0314,0.0263,0.0067,0.0621,0.0115,0.0008,0.0034,0.0105,0.0053,0.0187,0.0072,0.0026,0.0089,0.001,0.0028,0.0001,0.0102,0.0102,0.0075,0.0006,0.0053,0.0129,0.0046,0.0049,0.0008,0.0287,0.0043,0.0004,0.0036,0.0129,0.0404,0.0229,0.0095,0.0018,0.0243,0.0058,0.006,0.0017,0.0011,0.1471,0.0016,0.0082,0.0016,0.013,0.0653,0.0021,0.0194,0.0043,0.0082,0.0232,0.0055,0.0024,0.0024,0.0699,0.013,0.081
18.6853,no action,0.0011,0.0068,0.0248,0.0271,0.0059,0.0448,0.0068,0.0367,0.0182,0.0062,0.0532,0.0107,0.001,0.0043,0.0121,0.0077,0.0209,0.0063,0.0021,0.0117,0.0009,0.0028,0.0001,0.0124,0.0134,0.0087,0.0009,0.0063,0.0164,0.0054,0.0056,0.001,0.0374,0.0049,0.0003,0.0041,0.0168,0.0415,0.029,0.0111,0.002,0.0199,0.0065,0.0068,0.0019,0.0009,0.1279,0.0019,0.008,0.0017,0.0171,0.064,0.0029,0.0232,0.0036,0.0068,0.0265,0.0058,0.0021,0.0032,0.0591,0.0091,0.0718
18.7688,no action,0.001,0.0073,0.0179,0.025,0.0094,0.0432,0.0107,0.0369,0.015,0.0067,0.05,0.0102,0.001,0.0057,0.0136,0.0105,0.0271,0.0051,0.0017,0.0167,0.0009,0.0031,0.0001,0.017,0.0143,0.0097,0.0013,0.006,0.0211,0.005,0.0065,0.0011,0.0401,0.0054,0.0003,0.0045,0.0229,0.0438,0.0307,0.0144,0.0021,0.0132,0.0069,0.0072,0.0018,0.0007,0.1083,0.0024,0.0074,0.0017,0.0206,0.0612,0.0035,0.0262,0.0031,0.0048,0.0307,0.0068,0.0018,0.0048,0.0525,0.0069,0.0625
18.8522,no action,0.001,0.0093,0.0136,0.0203,0.0175,0.0397,0.0194,0.0352,0.0098,0.0064,0.0418,0.0086,0.0011,0.008,0.017,0.0161,0.0297,0.0043,0.0014,0.023,0.0009,0.0032,0.0001,0.0216,0.0189,0.012,0.0021,0.0064,0.0292,0.0052,0.0089,0.0012,0.0409,0.0052,0.0003,0.0044,0.0319,0.0426,0.032,0.0187,0.002,0.0098,0.0084,0.009,0.0017,0.0007,0.078,0.0029,0.0075,0.002,0.0271,0.0527,0.0047,0.0281,0.0031,0.0036,0.0372,0.0085,0.0017,0.0083,0.041,0.0049,0.0484
18.9356,no action,0.0011,0.0104,0.0109,0.0156,0.0244,0.0373,0.027,0.0353,0.0064,0.0056,0.0369,0.0074,0.0011,0.0093,0.0181,0.0193,0.0342,0.0037,0.0011,0.0299,0.0008,0.003,0.0001,0.0261,0.0206,0.0141,0.003,0.007,0.0362,0.0058,0.0102,0.0011,0.0435,0.0058,0.0003,0.005,0.0386,0.0418,0.0328,0.0202,0.0019,0.0073,0.0093,0.0102,0.0015,0.0006,0.0568,0.0031,0.0074,0.0018,0.0308,0.043,0.0051,0.0274,0.0026,0.0028,0.0398,0.0086,0.0018,0.0115,0.0337,0.0038,0.0382
19.019,pick up cereal box,0.0012,0.0126,0.0098,0.0121,0.0319,0.0338,0.0352,0.0344,0.0043,0.0056,0.033,0.007,0.0011,0.011,0.0194,0.0197,0.0382,0.0033,0.001,0.0352,0.0009,0.0035,0.0001,0.0292,0.0207,0.0152,0.004,0.0063,0.0372,0.0053,0.0103,0.0012,0.0422,0.006,0.0003,0.0052,0.0409,0.0467,0.0319,0.0182,0.0018,0.0063,0.0109,0.0125,0.0014,0.0006,0.0445,0.0038,0.0076,0.0021,0.032,0.0359,0.0054,0.0247,0.002,0.0022,0.0464,0.0083,0.0019,0.0157,0.0267,0.0028,0.0294
19.1024,pick up cereal box,0.0014,0.0152,0.0098,0.0112,0.0424,0.0314,0.0471,0.035,0.0033,0.005,0.0321,0.0069,0.0011,0.0136,0.0162,0.0178,0.0356,0.0034,0.0011,0.0389,0.001,0.0038,0.0001,0.031,0.0209,0.0161,0.0057,0.0073,0.0386,0.0062,0.0108,0.0012,0.0359,0.0051,0.0003,0.0048,0.036,0.0441,0.0274,0.0161,0.0018,0.0066,0.012,0.0155,0.0016,0.0006,0.0431,0.0044,0.0091,0.0024,0.03,0.0338,0.0061,0.0249,0.0018,0.0022,0.042,0.0065,0.002,0.0186,0.0248,0.0026,0.0266
19.1858,pick up cereal box,0.0015,0.0198,0.0103,0.0099,0.05,0.0317,0.0546,0.0361,0.0029,0.0051,0.0299,0.0074,0.0011,0.0155,0.015,0.0179,0.0365,0.0038,0.0013,0.0362,0.0009,0.0036,0.0001,0.0276,0.018,0.0138,0.0063,0.0086,0.0424,0.0072,0.0123,0.0012,0.0335,0.0051,0.0003,0.0051,0.0352,0.0404,0.0265,0.0169,0.0016,0.0074,0.0141,0.0202,0.0015,0.0007,0.0396,0.0044,0.0116,0.003,0.0305,0.0308,0.0066,0.025,0.0014,0.0022,0.0369,0.0054,0.0015,0.0191,0.0201,0.0026,0.0223
19.2692,pick up cereal box,0.0019,0.022,0.0099,0.008,0.0528,0.0273,0.0571,0.0346,0.0025,0.0053,0.0291,0.0069,0.001,0.0162,0.0145,0.0141,0.0379,0.0037,0.0013,0.0384,0.001,0.0034,0.0001,0.0282,0.0164,0.0144,0.0066,0.0092,0.049,0.0079,0.0152,0.001,0.038,0.0065,0.0003,0.0067,0.0309,0.0471,0.0302,0.0142,0.0014,0.0069,0.0167,0.0228,0.0013,0.0009,0.0342,0.0041,0.0118,0.0033,0.0265,0.0262,0.0054,0.0204,0.0015,0.0025,0.0386,0.005,0.0013,0.0191,0.0175,0.0026,0.0191
19.3527,pick up cereal box,0.0021,0.025,0.0115,0.007,0.0528,0.0256,0.0561,0.0334,0.0024,0.0055,0.0274,0.0072,0.0012,0.017,0.0125,0.0124,0.038,0.0039,0.0015,0.0387,0.0011,0.0033,0.0001,0.0286,0.0152,0.0139,0.007,0.0101,0.0519,0.0087,0.0176,0.0012,0.0382,0.0072,0.0004,0.0075,0.0285,0.0511,0.0331,0.0121,0.0014,0.0088,0.018,0.0262,0.0013,0.0012,0.0314,0.0041,0.0155,0.0041,0.0244,0.0222,0.0059,0.02,0.0017,0.0028,0.0344,0.0043,0.0012,0.0178,0.0158,0.0028,0.0164
19.4361,pick up cereal box,0.0024,0.0274,0.0128,0.0058,0.0531,0.0237,0.0557,0.0298,0.0021,0.0054,0.0257,0.0072,0.0013,0.0175,0.0121,0.0121,0.0377,0.0043,0.0018,0.0431,0.0015,0.0037,0.0001,0.0313,0.0139,0.0134,0.0071,0.0109,0.0566,0.0093,0.0195,0.0013,0.0416,0.0075,0.0004,0.0082,0.0255,0.0432,0.0366,0.0097,0.0016,0.0099,0.0193,0.0295,0.0015,0.0016,0.0305,0.005,0.0183,0.0049,0.0241,0.0194,0.0055,0.0181,0.0018,0.0028,0.0318,0.0039,0.0011,0.0167,0.0133,0.0032,0.0137
19.5195,pick up cereal box,0.0028,0.0315,0.0155,0.0061,0.044,0.0209,0.0461,0.0257,0.0027,0.0068,0.0304,0.0076,0.0014,0.0156,0.0101,0.0099,0.0385,0.0047,0.0022,0.0448,0.0022,0.0043,0.0001,0.0312,0.0113,0.0137,0.0066,0.0121,0.0578,0.0103,0.0208,0.0013,0.0406,0.0088,0.0006,0.0096,0.0211,0.0465,0.0373,0.0085,0.0019,0.0126,0.0195,0.0344,0.0017,0.0021,0.0334,0.0057,0.0225,0.0051,0.0223,0.02,0.0044,0.016,0.0022,0.0037,0.0273,0.0035,0.0012,0.0143,0.0149,0.0043,0.015
19.6029,pick up cereal box,0.0033,0.039,0.0187,0.0068,0.0345,0.0204,0.0368,0.0268,0.0027,0.0075,0.0317,0.0086,0.0016,0.0127,0.0079,0.0079,0.031,0.0047,0.0023,0.0352,0.0023,0.0039,0.0002,0.0252,0.0117,0.0135,0.0057,0.0158,0.0589,0.0138,0.022,0.0015,0.0451,0.01,0.0007,0.0112,0.0175,0.0466,0.0431,0.0084,0.0021,0.0161,0.0191,0.0435,0.002,0.0026,0.0345,0.0048,0.0265,0.0051,0.0219,0.0199,0.0046,0.0161,0.003,0.0057,0.0234,0.0029,0.0012,0.0103,0.0162,0.005,0.0165
19.6863,pick up cereal box,0.0035,0.0401,0.0204,0.0076,0.0238,0.0226,0.0251,0.0298,0.003,0.0102,0.0368,0.0107,0.0018,0.0104,0.006,0.0059,0.0298,0.0044,0.0021,0.0333,0.0025,0.004,0.0002,0.024,0.0097,0.0143,0.0046,0.0171,0.0545,0.0148,0.0199,0.0017,0.0513,0.0125,0.0009,0.0138,0.0144,0.0468,0.0472,0.0075,0.0025,0.0176,0.018,0.0446,0.0025,0.0027,0.0383,0.0045,0.0289,0.0046,0.0189,0.021,0.004,0.0167,0.0035,0.0076,0.0204,0.0022,0.001,0.0071,0.0195,0.0058,0.0193
19.7698,pick up cereal box,0.0037,0.0457,0.0202,0.0085,0.0196,0.0221,0.0208,0.0295,0.0033,0.0126,0.0405,0.0115,0.0019,0.0092,0.0048,0.0053,0.0259,0.004,0.0021,0.029,0.0026,0.004,0.0002,0.0214,0.0081,0.0128,0.0038,0.0199,0.0481,0.0169,0.0177,0.0017,0.0527,0.0136,0.0009,0.0146,0.0121,0.046,0.0501,0.0071,0.0026,0.0186,0.0168,0.0509,0.0027,0.0033,0.0398,0.0043,0.0345,0.0047,0.0165,0.021,0.0041,0.0181,0.004,0.0089,0.0182,0.002,0.0009,0.0056,0.0215,0.0056,0.0208
19.8532,pick up cereal box,0.0046,0.0452,0.021,0.0096,0.0172,0.0248,0.0175,0.0291,0.0039,0.0169,0.0423,0.013,0.0021,0.0088,0.0042,0.0046,0.0224,0.004,0.0019,0.0249,0.0027,0.0046,0.0002,0.0182,0.0074,0.0116,0.0037,0.0231,0.0457,0.0184,0.0155,0.0019,0.0563,0.0135,0.001,0.0141,0.0102,0.0435,0.0523,0.0079,0.0039,0.0185,0.0176,0.0494,0.004,0.0039,0.043,0.0041,0.0331,0.0046,0.0151,0.0217,0.0038,0.0175,0.0042,0.0101,0.0169,0.0019,0.0009,0.0052,0.0228,0.0062,0.0219
19.9366,pick up cereal box,0.0049,0.046,0.022,0.0106,0.0182,0.0261,0.0176,0.0275,0.0041,0.0184,0.0401,0.013,0.0022,0.0098,0.0042,0.0043,0.0214,0.0039,0.0018,0.0234,0.0031,0.005,0.0003,0.0171,0.0072,0.0112,0.0043,0.0225,0.0488,0.0167,0.0161,0.0021,0.0592,0.0131,0.0011,0.0132,0.0088,0.035,0.0559,0.0076,0.0056,0.0184,0.019,0.0484,0.0055,0.0041,0.0449,0.0046,0.0245,0.0045,0.0145,0.0223,0.003,0.015,0.0046,0.0117,0.0169,0.0022,0.001,0.0063,0.0253,0.0063,0.0237
20.02,no action,0.0059,0.0466,0.0204,0.0135,0.0189,0.0288,0.0178,0.0285,0.0043,0.0201,0.0407,0.0124,0.0021,0.0109,0.0036,0.0042,0.0162,0.0034,0.0016,0.0222,0.003,0.0054,0.0003,0.0161,0.0066,0.0105,0.0045,0.022,0.0458,0.0156,0.0141,0.0019,0.0575,0.0119,0.001,0.0117,0.0076,0.0324,0.0555,0.0078,0.0078,0.0167,0.0186,0.0476,0.0078,0.0038,0.0492,0.0045,0.0184,0.0041,0.0135,0.0267,0.0027,0.0136,0.005,0.0119,0.0161,0.0021,0.0012,0.0067,0.032,0.0067,0.0303
20.1034,no action,0.006,0.0505,0.0218,0.0144,0.0197,0.0282,0.0181,0.0266,0.0038,0.0175,0.0426,0.01,0.0021,0.0117,0.0038,0.005,0.0146,0.0036,0.0017,0.0218,0.0031,0.0056,0.0003,0.0151,0.007,0.0086,0.0046,0.0214,0.053,0.0151,0.0147,0.002,0.0573,0.0107,0.001,0.0105,0.0081,0.0232,0.0518,0.0074,0.0098,0.017,0.0205,0.0512,0.0101,0.0042,0.0483,0.005,0.0131,0.0045,0.015,0.0291,0.0029,0.0129,0.0053,0.011,0.014,0.0021,0.0015,0.0072,0.0328,0.0068,0.0318
20.1868,no action,0.0067,0.0492,0.018,0.0177,0.024,0.0325,0.0216,0.028,0.0041,0.015,0.0447,0.0086,0.0018,0.0157,0.0046,0.0056,0.0125,0.0033,0.0015,0.02,0.0031,0.0056,0.0003,0.014,0.0073,0.0078,0.0054,0.0178,0.055,0.0125,0.0152,0.0019,0.0483,0.0084,0.001,0.0081,0.0091,0.0194,0.0411,0.0071,0.0119,0.013,0.0196,0.0493,0.0123,0.0035,0.0558,0.005,0.0079,0.0039,0.0165,0.0355,0.0027,0.011,0.005,0.0104,0.0158,0.0025,0.0021,0.0106,0.0366,0.0075,0.0383
20.2703,no action,0.0081,0.0544,0.0167,0.0221,0.0283,0.0314,0.025,0.0245,0.0041,0.0126,0.0381,0.0072,0.0017,0.0199,0.0046,0.0063,0.011,0.0031,0.0015,0.0163,0.0027,0.005,0.0003,0.0112,0.0069,0.0063,0.0066,0.0166,0.0511,0.0115,0.0151,0.0018,0.0398,0.0074,0.001,0.007,0.0102,0.0177,0.0356,0.0079,0.0156,0.0123,0.0184,0.0532,0.0166,0.003,0.0573,0.0048,0.0055,0.0038,0.0179,0.0395,0.0029,0.0107,0.0043,0.01,0.0154,0.0027,0.0027,0.0138,0.0415,0.0069,0.0426
20.3537,no action,0.0084,0.0589,0.0139,0.0267,0.0316,0.0317,0.028,0.0226,0.0041,0.0086,0.031,0.0056,0.0018,0.0241,0.0053,0.0076,0.0103,0.0031,0.0015,0.016,0.0023,0.0047,0.0003,0.0112,0.0071,0.0054,0.0076,0.0151,0.0485,0.0103,0.0143,0.0019,0.0371,0.0059,0.0007,0.0056,0.0112,0.0134,0.0327,0.0077,0.016,0.0099,0.0189,0.0567,0.0181,0.0027,0.0551,0.0049,0.0038,0.0039,0.0177,0.0451,0.0035,0.0112,0.0035,0.0073,0.0171,0.0028,0.0032,0.0172,0.0443,0.006,0.0474
20.4371,no action,0.0087,0.0474,0.0105,0.0321,0.037,0.0316,0.0325,0.0198,0.0036,0.0058,0.0255,0.0045,0.0016,0.0318,0.0073,0.01,0.0124,0.0027,0.0014,0.0192,0.0024,0.0052,0.0003,0.0126,0.0071,0.0054,0.0094,0.0106,0.0448,0.0072,0.0143,0.0017,0.0305,0.0042,0.0006,0.0041,0.0123,0.0104,0.0269,0.0063,0.0166,0.0074,0.0156,0.0447,0.0189,0.002,0.0604,0.0064,0.0024,0.0034,0.0174,0.0581,0.0036,0.0105,0.0027,0.0045,0.0227,0.0037,0.0042,0.0262,0.0486,0.0051,0.053
20.5205,no action,0.0095,0.0374,0.0076,0.0395,0.0415,0.0243,0.037,0.0145,0.0031,0.0037,0.0184,0.003,0.0012,0.0391,0.0081,0.011,0.0126,0.0021,0.0012,0.0199,0.0022,0.0049,0.0003,0.0133,0.0065,0.0049,0.0119,0.0082,0.0425,0.0057,0.0145,0.0013,0.0243,0.0031,0.0005,0.003,0.0131,0.009,0.0222,0.0056,0.0174,0.0052,0.0114,0.0352,0.0208,0.0015,0.063,0.0063,0.0013,0.0027,0.0163,0.0708,0.0032,0.0086,0.0025,0.0035,0.0251,0.0047,0.0064,0.037,0.0566,0.005,0.0637
20.6039,no action,0.0099,0.0314,0.0058,0.0452,0.0425,0.0189,0.0378,0.0108,0.0027,0.0025,0.0138,0.0021,0.001,0.0403,0.0093,0.0111,0.0137,0.0017,0.0011,0.0215,0.0022,0.0048,0.0003,0.0138,0.0065,0.0047,0.0134,0.0058,0.0422,0.0039,0.0163,0.0012,0.0194,0.0023,0.0005,0.0022,0.0143,0.0073,0.0182,0.0046,0.0183,0.004,0.0088,0.0291,0.0212,0.0012,0.0611,0.0063,0.0008,0.0023,0.0159,0.0837,0.0029,0.0067,0.0024,0.0027,0.0279,0.006,0.0093,0.0465,0.0611,0.0048,0.0704
20.6873,no action,0.0085,0.0295,0.0046,0.0495,0.0469,0.0152,0.0417,0.0089,0.0024,0.0018,0.0123,0.0014,0.0009,0.0439,0.0097,0.0124,0.0142,0.0013,0.0009,0.025,0.0022,0.0044,0.0003,0.0156,0.0061,0.0046,0.0149,0.0047,0.0353,0.0032,0.0147,0.0011,0.0145,0.0017,0.0004,0.0016,0.0157,0.0061,0.0141,0.0038,0.0145,0.0033,0.0065,0.0267,0.0166,0.0008,0.0591,0.0063,0.0005,0.0018,0.0154,0.0934,0.0027,0.0058,0.0019,0.0019,0.0293,0.0062,0.0095,0.0558,0.0658,0.0047,0.0758
20.7707,no action,0.0072,0.0282,0.0038,0.0589,0.0417,0.0124,0.0384,0.0078,0.0026,0.0017,0.0124,0.0011,0.0007,0.0409,0.0095,0.0116,0.0159,0.0011,0.0008,0.027,0.0023,0.0045,0.0003,0.0161,0.0059,0.0045,0.0141,0.0042,0.0282,0.0029,0.0124,0.0009,0.0117,0.0014,0.0003,0.0013,0.0173,0.0069,0.0111,0.0039,0.0118,0.003,0.005,0.0255,0.0128,0.0008,0.0611,0.006,0.0005,0.0016,0.0125,0.106,0.0027,0.005,0.0016,0.0017,0.0311,0.0058,0.0099,0.0522,0.0757,0.0054,0.088
20.8542,no action,0.0066,0.0229,0.0034,0.0607,0.036,0.01,0.0346,0.0063,0.0028,0.0016,0.0125,0.001,0.0007,0.0382,0.012,0.0106,0.0209,0.001,0.0009,0.0306,0.0027,0.0052,0.0003,0.0177,0.0062,0.0054,0.015,0.0037,0.0277,0.0027,0.0135,0.0008,0.0108,0.0014,0.0004,0.0013,0.0201,0.0072,0.0104,0.0035,0.0108,0.0028,0.0038,0.0209,0.0109,0.0008,0.0603,0.0065,0.0005,0.0014,0.0116,0.1036,0.0027,0.0046,0.0017,0.0018,0.0381,0.0076,0.014,0.0558,0.078,0.006,0.0866
20.9376,no action,0.0062,0.0188,0.0027,0.0722,0.0294,0.0085,0.0297,0.0054,0.0034,0.0018,0.0124,0.001,0.0005,0.0353,0.011,0.008,0.0235,0.0007,0.0006,0.0292,0.0028,0.0054,0.0002,0.0175,0.0058,0.0061,0.0152,0.0028,0.0205,0.002,0.0114,0.0006,0.0083,0.0011,0.0004,0.001,0.019,0.0084,0.0086,0.0035,0.0102,0.0025,0.0023,0.0172,0.0093,0.0005,0.0655,0.0061,0.0004,0.001,0.0092,0.1075,0.0024,0.0044,0.0016,0.0019,0.0414,0.0077,0.0162,0.0533,0.0927,0.0069,0.0989
21.021,open cereal box,0.0054,0.0161,0.0022,0.0795,0.0206,0.0062,0.0223,0.0047,0.0036,0.0017,0.0133,0.0008,0.0003,0.0269,0.0101,0.0055,0.0291,0.0005,0.0005,0.0323,0.0029,0.0055,0.0002,0.0197,0.0055,0.0072,0.0132,0.0023,0.0181,0.0017,0.0112,0.0004,0.0076,0.0011,0.0005,0.001,0.0154,0.0088,0.0083,0.0033,0.0081,0.0023,0.0017,0.0151,0.0071,0.0005,0.0645,0.0054,0.0004,0.0008,0.0071,0.1102,0.0019,0.0042,0.0018,0.0022,0.0428,0.0081,0.0182,0.0438,0.1147,0.0074,0.1162
21.1044,open cereal box,0.0042,0.0122,0.0017,0.0839,0.0137,0.0052,0.0157,0.0043,0.0044,0.0019,0.0153,0.0007,0.0003,0.0197,0.0103,0.0038,0.0338,0.0004,0.0004,0.0324,0.0032,0.0058,0.0001,0.0197,0.0047,0.0081,0.0102,0.0018,0.0157,0.0014,0.0107,0.0003,0.0064,0.001,0.0005,0.0009,0.0125,0.0089,0.0074,0.003,0.0056,0.0019,0.0012,0.0115,0.0046,0.0004,0.0667,0.0046,0.0004,0.0006,0.0054,0.1165,0.0014,0.0035,0.0021,0.0024,0.0458,0.0095,0.0189,0.0374,0.1315,0.009,0.1323
21.1878,open cereal box,0.0039,0.0094,0.0016,0.0852,0.0111,0.0047,0.0132,0.0041,0.0053,0.0023,0.0181,0.0008,0.0002,0.018,0.0101,0.0027,0.0334,0.0003,0.0004,0.0268,0.0033,0.0058,0.0002,0.0172,0.0044,0.0082,0.009,0.0014,0.013,0.0011,0.01,0.0002,0.0047,0.0007,0.0006,0.0006,0.0109,0.0092,0.0056,0.0028,0.005,0.0021,0.0009,0.0089,0.0038,0.0004,0.0767,0.0036,0.0004,0.0005,0.0044,0.1195,0.001,0.0029,0.0022,0.0028,0.0446,0.0102,0.0202,0.0342,0.1447,0.0111,0.1397
21.2713,open cereal box,0.0034,0.0091,0.0018,0.086,0.0097,0.0042,0.0118,0.004,0.0067,0.0027,0.0202,0.0007,0.0002,0.0169,0.0086,0.0018,0.0322,0.0003,0.0004,0.0222,0.0036,0.0067,0.0002,0.0151,0.0041,0.0081,0.0085,0.0015,0.0114,0.0012,0.0091,0.0002,0.0042,0.0006,0.0007,0.0006,0.0088,0.0102,0.0052,0.0029,0.0044,0.0025,0.0008,0.0087,0.0033,0.0004,0.0871,0.003,0.0004,0.0005,0.0035,0.1187,0.0008,0.0025,0.0023,0.0035,0.0372,0.0094,0.02,0.0295,0.1551,0.0149,0.1455
21.3547,open cereal box,0.0029,0.0087,0.0024,0.0878,0.0077,0.0048,0.0096,0.0046,0.011,0.0028,0.0282,0.0009,0.0002,0.0133,0.0089,0.0015,0.0301,0.0004,0.0006,0.0175,0.0038,0.007,0.0002,0.0119,0.0044,0.0076,0.0062,0.0015,0.0106,0.0013,0.0084,0.0003,0.0039,0.0006,0.0007,0.0006,0.0081,0.0109,0.0049,0.0026,0.0038,0.0037,0.0008,0.0086,0.0027,0.0005,0.1008,0.003,0.0006,0.0006,0.0032,0.1157,0.0008,0.0024,0.0024,0.0038,0.033,0.0081,0.0187,0.0219,0.1575,0.0205,0.1473
21.4381,open cereal box,0.0022,0.0084,0.0027,0.0887,0.0061,0.0052,0.0079,0.0051,0.0147,0.0028,0.0336,0.001,0.0002,0.0115,0.0079,0.0011,0.0241,0.0005,0.0007,0.014,0.0033,0.0061,0.0002,0.0101,0.0038,0.007,0.0049,0.0017,0.0094,0.0014,0.0069,0.0002,0.0037,0.0006,0.0007,0.0006,0.0075,0.0135,0.0046,0.0029,0.0031,0.0041,0.0008,0.0084,0.0022,0.0005,0.1107,0.0025,0.0006,0.0006,0.0024,0.1101,0.0006,0.0019,0.0026,0.0046,0.0288,0.0067,0.0168,0.0161,0.1654,0.0263,0.1565
21.5215,open cereal box,0.0019,0.0077,0.0031,0.0869,0.0043,0.0051,0.0059,0.0053,0.0182,0.0024,0.0375,0.001,0.0002,0.0095,0.0072,0.0009,0.0207,0.0007,0.001,0.0107,0.0031,0.0052,0.0002,0.0086,0.0039,0.0064,0.0039,0.0016,0.0108,0.0015,0.0085,0.0002,0.0035,0.0006,0.0009,0.0006,0.0065,0.0135,0.0046,0.0026,0.003,0.0051,0.0009,0.008,0.002,0.0006,0.1125,0.0019,0.0007,0.0007,0.0021,0.0983,0.0005,0.0016,0.004,0.0068,0.0266,0.0066,0.0204,0.0121,0.1726,0.0329,0.1629
21.6049,open cereal box,0.0019,0.0073,0.0031,0.0868,0.0032,0.0048,0.0044,0.0051,0.0234,0.0021,0.0437,0.001,0.0001,0.0081,0.0071,0.0007,0.0215,0.0009,0.0015,0.0091,0.0037,0.0053,0.0002,0.0079,0.0032,0.0057,0.003,0.0016,0.0104,0.0015,0.0093,0.0002,0.0033,0.0006,0.0011,0.0007,0.0054,0.0119,0.0049,0.0022,0.0029,0.0058,0.0008,0.008,0.002,0.0007,0.1077,0.0019,0.0008,0.0009,0.0018,0.0906,0.0005,0.0013,0.0048,0.0066,0.0247,0.0066,0.0219,0.0097,0.1733,0.0439,0.165
21.6883,open cereal box,0.0016,0.0073,0.0034,0.0826,0.0026,0.0045,0.0038,0.0047,0.029,0.002,0.0466,0.0009,0.0001,0.0071,0.0068,0.0007,0.0203,0.0011,0.0019,0.007,0.0039,0.0048,0.0002,0.0068,0.0028,0.0047,0.0026,0.0015,0.009,0.0015,0.0086,0.0001,0.0029,0.0005,0.0012,0.0006,0.0046,0.011,0.0044,0.0022,0.0025,0.0069,0.0009,0.0082,0.0018,0.0007,0.1184,0.0017,0.0009,0.001,0.0017,0.089,0.0004,0.0011,0.0057,0.0073,0.0227,0.0062,0.0205,0.0084,0.1667,0.0581,0.1615
21.7718,open cereal box,0.0013,0.0066,0.0037,0.0779,0.0021,0.0049,0.0029,0.005,0.0344,0.002,0.0554,0.001,0.0001,0.0063,0.0065,0.0006,0.0192,0.0015,0.0027,0.0062,0.004,0.0047,0.0002,0.0062,0.0024,0.0041,0.002,0.0016,0.0084,0.0016,0.0082,0.0001,0.003,0.0005,0.0014,0.0006,0.0044,0.0121,0.0047,0.0023,0.0024,0.0079,0.0009,0.0075,0.0016,0.0009,0.1142,0.0015,0.0011,0.0013,0.0017,0.083,0.0003,0.0009,0.0064,0.0081,0.0218,0.0059,0.0193,0.007,0.1637,0.0741,0.1554
21.8552,open cereal box,0.0012,0.0072,0.0046,0.0762,0.0019,0.0054,0.0026,0.0049,0.0401,0.0019,0.0552,0.0012,0.0001,0.0062,0.0063,0.0006,0.0159,0.0022,0.004,0.0049,0.0037,0.0041,0.0002,0.005,0.0022,0.0035,0.0017,0.0018,0.0082,0.0018,0.0079,0.0002,0.0028,0.0005,0.0015,0.0006,0.0044,0.013,0.0045,0.0023,0.0025,0.0098,0.001,0.0081,0.0017,0.0011,0.1182,0.0014,0.0012,0.0014,0.0016,0.0785,0.0003,0.0007,0.007,0.0081,0.0205,0.0054,0.0184,0.0061,0.1566,0.0917,0.1458
21.9386,open cereal box,0.0013,0.0075,0.006,0.07,0.0018,0.0054,0.0024,0.0048,0.0448,0.0021,0.0594,0.0014,0.0001,0.0053,0.0065,0.0006,0.015,0.0031,0.0055,0.0045,0.0037,0.0041,0.0003,0.0049,0.0025,0.0036,0.0015,0.002,0.0093,0.0021,0.0084,0.0002,0.0034,0.0006,0.0018,0.0008,0.0046,0.0154,0.0051,0.0026,0.0027,0.0119,0.0013,0.0088,0.0019,0.0015,0.1141,0.0013,0.0017,0.0019,0.0017,0.0711,0.0004,0.0007,0.0081,0.0095,0.0225,0.0052,0.0225,0.0054,0.139,0.1035,0.1393
22.022,open cereal box,0.0012,0.0074,0.0061,0.0664,0.0018,0.005,0.0024,0.0047,0.0461,0.0018,0.0612,0.0014,0.0001,0.005,0.007,0.0006,0.0153,0.004,0.0072,0.0043,0.0037,0.0039,0.0002,0.0048,0.0026,0.0038,0.0014,0.0021,0.0098,0.0021,0.009,0.0001,0.0035,0.0008,0.0019,0.001,0.0044,0.0157,0.0053,0.0026,0.0029,0.0119,0.0014,0.009,0.002,0.002,0.1028,0.0013,0.0017,0.0024,0.0017,0.0615,0.0004,0.0006,0.0099,0.0101,0.0248,0.006,0.0276,0.0055,0.1311,0.123,0.1326
